ProblemType,Problem,Solution
Continuous Functions,"First put $E_1 = \{0, 1\}$ and suppose that a finite sequence $E_n \subset [0, 1]$ is given. 
Define $E_{n+1}$ by inserting new fractions $(a+c)/(b+d)$ between every two 
consecutive fractions $a/b$ and $c/d$ in $E_n$. Of course we understand $0 = 0/1$ 
and $1 = 1/1$; thus,
\[
E_2 = \left\{0, \frac{1}{2}, 1\right\}, \quad E_3 = \left\{0, \frac{1}{3}, \frac{1}{2}, \frac{2}{3}, 1\right\}, \dots
\]

With the help of the sequence $E_n$, we define the piecewise linear continuous function 
$\varphi_n(x)$ on the interval $[0, 1]$ such that
\[
\varphi_n\left(\frac{a}{b}\right) = \varphi_n\left(\frac{c}{d}\right) = 0, \quad \varphi_n\left(\frac{a+c}{b+d}\right) = \frac{1}{b+d},
\]
and $\varphi_n(x)$ is linear on the intervals
\[
\left[\frac{a}{b}, \frac{a+c}{b+d}\right] \quad \text{and} \quad \left[\frac{a+c}{b+d}, \frac{c}{d}\right],
\]
respectively, for every two successive terms $a/b$ and $c/d$ in $E_n$.

Show then that the series
\[
f(x) = \sum_{n=1}^\infty \varphi_n(x)
\]
converges at every point $x \in [0, 1]$; more precisely, it converges to $1 - 1/q$ at any rational 
point $x = p/q \in [0, 1]$ with $(p, q) = 1$ and to $1$ at any irrational point $x$ in $(0, 1)$.","Let $p/q$ be any fraction in the interval $[0, 1]$. The fraction $p/q$ is contained in $E_q$; otherwise, there exist two adjacent fractions $a/b$ and $c/d$ in $E_q$ satisfying
\[
\frac{a}{b} < \frac{p}{q} < \frac{c}{d},
\]
which implies
\[
\frac{1}{bd} = \frac{c}{d} - \frac{a}{b} = \frac{c}{d} - \frac{p}{q} + \frac{p}{q} - \frac{a}{b} \geq \frac{1}{dq} + \frac{1}{bq} \geq \frac{b+d}{bdq} > \frac{1}{bd},
\]
a contradiction. We used here the facts that $bc - ad = 1$ and $b + d \geq n + 1$ for any two consecutive fractions $a/b$ and $c/d$ in $E_n$, which can be easily verified by induction on $n$.

We next show that 
\[
f\left(\frac{a}{b}\right) = 1 - \frac{1}{b} \tag{3.1}
\]
for any fraction $a/b$ belonging to $E_n$ by induction on $n$. Clearly, it holds for $a/b = 0/1$ and $1/1$ since $\phi_m(0) = \phi_m(1) = 0$ for all positive integer $m$. Suppose (3.1) holds for any $a/b \in E_n$. By definition, we have
\[
f\left(\frac{a}{b}\right) = \phi_1\left(\frac{a}{b}\right) + \cdots + \phi_{b-1}\left(\frac{a}{b}\right) = 1 - \frac{1}{b},
\]
since $a/b \in E_k$ for all $k \geq b$. Let $a/b$ and $c/d$ be any successive fractions in $E_n$ and consider the fraction $(a+c)/(b+d) \in E_{n+1}$. Since
\[
\Phi(x) = \phi_1(x) + \cdots + \phi_{n-1}(x)
\]
is a linear function on the interval $[a/b, c/d]$, we get
\[
\Phi\left(\frac{a+c}{b+d}\right) = 1 - \frac{1}{b} + \frac{1/b - 1/d}{c/d - a/b} \left(\frac{a+c}{b+d} - \frac{a}{b}\right) = 1 - \frac{2}{b+d}.
\]
Hence
\[
f\left(\frac{a+c}{b+d}\right) = \Phi\left(\frac{a+c}{b+d}\right) + \phi_n\left(\frac{a+c}{b+d}\right) = 1 - \frac{1}{b+d},
\]
by definition. Therefore, (3.1) holds for any rational point in the interval $[0, 1]$.

Let $m$ be any positive integer. Since the piecewise linear function $\Phi_m(x)$ takes the value less than 1 at any point belonging to $E_{m+1}$, as is already seen above, it follows clearly that $\Phi_m(x) < 1$ for all $x \in [0, 1]$. Thus the series
\[
\sum_{n=1}^\infty \phi_n(x)
\]
converges at every irrational point $x$. Let $a/b$ and $c/d$ be any adjacent fractions in $E_{m+1}$ satisfying $a/b < x < c/d$. We then have
\[
\Phi_m(x) \geq \min\left\{\Phi_m\left(\frac{a}{b}\right), \Phi_m\left(\frac{c}{d}\right)\right\}
= \min\left\{1 - \frac{1}{b}, 1 - \frac{1}{d}\right\}.
\]
Since $x$ is irrational, both $b$ and $d$ must diverge to $\infty$ as $m \to \infty$; so, $f(x) = 1$, as required."
Continuous Functions,"Let $c_1, c_2, \ldots, c_n$ and $\lambda_1, \lambda_2, \ldots, \lambda_n$ be real numbers with 
$\lambda_j \neq \lambda_k$ for any $j \neq k$. Show that $c_1 = c_2 = \cdots = c_n = 0$ if
\[
\sum_{k=1}^n c_k \exp(\lambda_k i x)
\]
converges to $0$ as $x \to \infty$.","Put
\[
f(x) = \sum_{k=1}^n c_k \exp(\lambda_k i x).
\]
For any $\epsilon > 0$ we can find a sufficiently large integer $N$ satisfying $|f(x)| < \epsilon$ for all $x$ greater than $N$. For each $1 \leq k \leq n$ we have
\[
\frac{1}{T} \int_T^{2T} f(x) \exp(-\lambda_k i x) \, dx
= c_k + \frac{1}{T} \sum_{\ell \neq k} c_\ell \int_T^{2T} \exp((\lambda_\ell - \lambda_k) i x) \, dx
\]
\[
= c_k + \frac{1}{T} \sum_{\ell \neq k} \frac{\exp(2(\lambda_\ell - \lambda_k) i T) - \exp((\lambda_\ell - \lambda_k) i T)}{(\lambda_\ell - \lambda_k) i}.
\]

Therefore
\[
|c_k| \leq \frac{1}{T} \int_T^{2T} |f(x)| \, dx + \frac{2}{T} \sum_{\ell \neq k} \frac{|c_\ell|}{|\lambda_\ell - \lambda_k|}
< \epsilon + O\left(\frac{1}{T}\right)
\]
for any $T > N$, which implies $c_k = 0$ since $\epsilon$ is arbitrary."
Diﬀerentiation,"Suppose that all roots of the algebraic equation 
\[
x^n + a_{n-1} x^{n-1} + \cdots + a_0 = 0
\]
have negative real parts and that $f \in C^n(0, \infty)$. Show that if
\[
f^{(n)}(x) + a_{n-1} f^{(n-1)}(x) + \cdots + a_0 f(x)
\]
converges to $0$ as $x \to \infty$, then $f^{(k)}(x)$ also converges to $0$ as $x \to \infty$ for any $0 \leq k \leq n$.","We first consider the case $n = 1$ and assume that $f(x) \in C^1(0, \infty)$ is a complex-valued function. Suppose that $f'(x) + z f(x)$ converges to $0$ as $x \to \infty$ where $z$ is a complex number with $\Re z > 0$. Differentiating $g(x) = e^{z x} f(x)$ we have 
\[
g'(x) = e^{z x} \big(f'(x) + z f(x)\big);
\]
therefore $g'(x) e^{-z x}$ converges to $0$ as $x \to \infty$. This means that for any $\epsilon > 0$ there exists an $x_\epsilon$ satisfying $|g'(x)| e^{-z x} < \epsilon$ for any $x$ greater than $x_\epsilon$. Hence 
\[
e^{z x} |f(x)| = |g(x)| \leq |g(x_\epsilon)| + \int_{x_\epsilon}^x |g'(t)| dt.
\]
Since the last expression is equal to 
\[
e^{z x_\epsilon} |f(x_\epsilon)| + \epsilon \int_{x_\epsilon}^x e^{z t} dt,
\]
we have 
\[
|f(x)| \leq e^{z(x_\epsilon - x)} |f(x_\epsilon)| + \frac{\epsilon}{\Re z} e^{z x}.
\]
Thus $|f(x)| < 2\epsilon / \Re z$ for all sufficiently large $x$.

We prove the $n+1$ case by assuming the $n$ case. Let $-\xi$ be a root of 
\[
x^{n+1} + a_n x^n + \cdots + a_0 = 0
\]
with $\Re \xi > 0$. Since this polynomial is written as 
\[
(x + \xi)\big(x^n + b_{n-1}x^{n-1} + \cdots + b_0\big),
\]
we get 
\[
f^{(n+1)}(x) + a_n f^{(n)}(x) + \cdots + a_0 f(x) = \phi'(x) + \xi \phi(x)
\]
where 
\[
\phi(x) = f^{(n)}(x) + b_{n-1}f^{(n-1)}(x) + \cdots + b_0 f(x).
\]
By the hypothesis $\phi(x)$ converges to $0$ and hence so does $f^{(k)}(x)$ as $x \to \infty$ for each integer $0 \leq k \leq n$. Clearly $f^{(n+1)}(x)$ converges to $0$ as well."
Diﬀerentiation,"Show that any $f \in C^2(\mathbb{R})$ satisfies the inequality
\[
\left( \sup_{x \in \mathbb{R}} |f'(x)| \right)^2 \leq 2 \sup_{x \in \mathbb{R}} |f(x)| \cdot \sup_{x \in \mathbb{R}} |f''(x)|.
\]
Prove moreover that the constant $2$ on the right-hand side cannot in general be replaced by any smaller number.","Put
\[
\alpha = \sup_{x \in \mathbb{R}} |f(x)| \quad \text{and} \quad \beta = \sup_{x \in \mathbb{R}} |f''(x)|.
\]
We may of course assume that both $\alpha$ and $\beta$ are finite. If $\beta$ vanishes, then $\alpha$ is finite if and only if $f(x)$ vanishes everywhere; therefore we can also assume that $\beta$ is positive. For any $x$ and positive $y$ it follows from Taylor's formula that there is a $\xi_{x,y}$ satisfying
\[
f(x+y) = f(x) + f'(x)y + f''(\xi_{x,y}) \frac{y^2}{2}.
\]
Therefore we have
\[
f(x+y) - f(x-y) = 2f'(x)y + \left(f''(\xi_{x,y}) - f''(\xi_{x,-y})\right) \frac{y^2}{2},
\]
which implies that
\[
2|f'(x)|y = |f(x+y) - f(x-y) + \left(f''(\xi_{x,y}) - f''(\xi_{x,-y})\right) \frac{y^2}{2}|
\leq 2\alpha + \beta y^2.
\]
Thus we get
\[
\sup_{x \in \mathbb{R}} |f'(x)| \leq \frac{\alpha}{y} + \frac{\beta y}{2},
\]
where the right-hand side attains its minimum $\sqrt{2\alpha \beta}$ at $y = \sqrt{2\alpha / \beta}$.

To see that 2 is the best possible constant we first define an even step function
\[
\phi''(x) = 
\begin{cases} 
0 & \text{for } |x| > 2, \\
1 & \text{for } 1 \leq |x| \leq 2, \\
-1 & \text{for } |x| < 1.
\end{cases}
\]
Then
\[
\phi'(x) = \int_{-2}^x \phi''(t) \, dt
\]
is an odd piecewise linear continuous function and in turn
\[
\phi(x) = \int_{-2}^x \phi'(t) \, dt - \frac{1}{2}
\]
is an even $C^1$-function. The maxima of $|\phi(x)|$, $|\phi'(x)|$ and $|\phi''(x)|$ are clearly $1/2$, $1$, and $1$ respectively. The equality certainly holds in this example. However $\phi$ does not belong to $C^2(\mathbb{R})$. To tide over this difficulty it suffices to transform $\phi''$ slightly to a continuous one in the neighborhood of the discontinuity points of $\phi''$ so that its influence on $\phi$ and $\phi'$ becomes arbitrarily small."
Diﬀerentiation,"Let $Q_n(x)$ be a polynomial with real coefficients of degree $n$ and $M$ be the maximum of $|Q_n(x)|$ on the interval $[-1, 1]$. Show that
\[
\sqrt{1 - x^2} \, |Q'_n(x)| \leq nM
\]
for any $-1 \leq x \leq 1$. Show next that
\[
|Q'_n(x)| \leq n^2 M
\]
for any $-1 \leq x \leq 1$.","The proof is based on Cheney (1966), p. 89--91. We first show that any polynomial $Q(x)$ with complex coefficients of degree $n-1$ satisfies the inequality
\[
\max_{-1 \leq x \leq 1} |Q(x)| \leq n \max_{-1 \leq x \leq 1} \sqrt{1-x^2} |Q(x)|.
\]
Let $M$ denote the right-hand side. If $x^2 \leq 1 - 1/n^2$, then clearly $|Q(x)| \leq M$. Hence we can assume that 
\[
|x| > \sqrt{1 - 1/n^2} > \cos\frac{\pi}{2n}.
\]

The $n$th Chebyshev polynomial $T_n(x)$ of the first kind (See Chapter 15) is factorized as
\[
T_n(x) = (x-\xi_1) \cdots (x-\xi_n)
\]
where 
\[
\xi_k = \cos\frac{2k-1}{2n}\pi
\]
for $k = 1, 2, \ldots, n$. The Lagrange interpolation polynomial for $Q$ with nodes $\xi_1, \ldots, \xi_n$ is
\[
\sum_{k=1}^n \frac{Q(\xi_k)}{T_n'(\xi_k)} \cdot \frac{T_n(x)}{x-\xi_k} = \frac{1}{n}\sum_{k=1}^n (-1)^{k-1}Q(\xi_k) \sqrt{1-\xi_k^2} \frac{T_n(x)}{x-\xi_k},
\]
which is a polynomial of degree less than $n$; hence it coincides with the polynomial $Q(x)$. Using the fact that $\mathrm{sgn}(x-\xi_k)$ is independent of $k$ in view of $\xi_1 < |x| \leq 1$, we get
\[
|Q(x)| \leq \frac{M}{n^2} \sum_{k=1}^n \left| \frac{T_n(x)}{x-\xi_k} \right| = \frac{M}{n^2} \left| T_n'(x) \right|.
\]

Since 
\[
|T_n'(\cos\theta)| = n \frac{|\sin n\theta|}{|\sin\theta|} \leq n^2,
\]
we get $|Q(x)| \leq M$, as required.

By the substitution $x = \cos\theta$, our inequality is equivalent to
\[
\max_\theta |Q(\cos\theta)| \leq n \max_\theta |\sin\theta Q(\cos\theta)|,
\]
which is valid for all polynomial $Q$ with complex coefficients of degree $n-1$. Let $S(\theta)$ be a linear combination over $\mathbb{C}$ of $1, \cos\theta, \cos 2\theta, \ldots, \cos n\theta$ and $\sin\theta, \sin 2\theta, \ldots, \sin n\theta$. For any $\omega$ and $\theta$ we put
\[
S_0(\theta) = \frac{S(\omega+\theta) - S(\omega-\theta)}{2}.
\]
Since $S_0(\theta)$ is an odd function, this is a linear combination of $1, \sin\theta, \ldots, \sin n\theta$ only. Thus $S_0(\theta)/\sin\theta$ is a polynomial in $\cos\theta$ of degree less than $n$, since $\sin k\theta / \sin\theta$ can be expressed as a polynomial in $\cos\theta$ of degree $k-1$. Applying our inequality to this polynomial in $\cos\theta$, we have
\[
\max_\theta \left| \frac{S_0(\theta)}{\sin\theta} \right| \leq n \max_\theta |S_0(\theta)| \leq n \max_\theta |S(\theta)|.
\]

Therefore
\[
\lim_{\theta \to 0} \frac{S_0(\theta)}{\sin\theta} = \lim_{\theta \to 0} S_0'(\theta) = S'(\omega),
\]
which implies that
\[
\max_\theta |S'(\theta)| \leq n \max_\theta |S(\theta)|.
\]
This is called Bernstein's inequality (1912b).

Two inequalities stated in the problem can be solved by using Bernstein's inequality. Let $P(x)$ be any polynomial with complex coefficients of degree $n$. Then $P(\cos\theta)$ is a linear combination of $1, \cos\theta, \ldots, \cos n\theta$ and it follows from Bernstein's inequality that
\[
\max_{-1 \leq x \leq 1} \sqrt{1-x^2} |P'(x)| = \max_\theta |\sin\theta P'(\cos\theta)| \leq n \max_\theta |P(\cos\theta)| = nM.
\]

Therefore, since $P'(x)$ is a polynomial of degree $n-1$, we get
\[
\max_{-1 \leq x \leq 1} |P'(x)| \leq n \max_{-1 \leq x \leq 1} \sqrt{1-x^2} |P'(x)| \leq n^2 M.
\]
This completes the proof."
Diﬀerentiation,"Suppose that $f \in C^\infty(\mathbb{R})$ satisfies $f(0)f'(0) \geq 0$ and that $f(x)$ converges to 0 as $x \to \infty$. Show then that there exists an increasing sequence $0 \leq x_1 < x_2 < x_3 < \cdots$ satisfying
\[
f^{(n)}(x_n) = 0.
\]","Suppose first that $f'(x)$ is positive for all $x \geq 0$. Then $f(x)$ is strictly monotone increasing and $f(0) \geq 0$ because $f'(0)$ is positive. This is a contradiction because $f(x)$ converges to 0 as $x \to \infty$. Similarly, we get a contradiction if $f'(x)$ is negative for all $x \geq 0$. Hence there exists at least one point $x_1 \geq 0$ at which $f'(x)$ vanishes.

Suppose now that we could find $n$ points $x_1 < \cdots < x_n$ satisfying $f^{(k)}(x_k) = 0$ for $1 \leq k \leq n$. If $f^{(n+1)}(x)$ is positive for any $x > x_n$, then clearly $f^{(n)}(x) \geq f^{(n)}(x_n + 1) > 0$ for any $x \geq x_n + 1$, since $f^{(n)}(x_n) = 0$. Thus we have
\[
f(x) \geq \frac{1}{n!} f^{(n)}(x_n + 1)x^n + (\text{some polynomial of degree less than } n),
\]
contrary to the assumption that $f(x)$ converges to 0. Similarly, we would have a contradiction if $f^{(n+1)}(x)$ is negative for any $x > x_n$. Hence there exists at least one point $x_{n+1}$ greater than $x_n$ satisfying $f^{(n+1)}(x_{n+1}) = 0$."
Diﬀerentiation,"Show that any $f \in C^{n+1}[0, 1]$ satisfies
\[
\max_{0 \leq x \leq 1} \left| f^{(n+1)}(x) \right| \geq 4^n n!
\]
if $f(0) = f'(0) = \cdots = f^{(n)}(0) = f'(1) = \cdots = f^{(n)}(1) = 0$ and $f(1) = 1$.","Let
\[
P(x) = x^n + a_{n-1}x^{n-1} + \cdots + a_0
\]
be any polynomial with real coefficients. Integrating by parts repeatedly we have
\[
\int_0^1 P(x) f^{(n+1)}(x) \, dx = -\int_0^1 P'(x) f^{(n)}(x) \, dx = \cdots = (-1)^n \int_0^1 P^{(n)}(x) f'(x) \, dx = (-1)^n n!,
\]
where we used \(f(1) = 1\). Now taking \(P\) as the polynomial attaining the minimum in \textbf{Problem 5.6}, we get
\[
n! = \left| \int_0^1 P(x) f^{(n+1)}(x) \, dx \right| \leq \max_{0 \leq x \leq 1} \left| f^{(n+1)}(x) \right| \int_0^1 |P(x)| \, dx = \frac{1}{4^n} \max_{0 \leq x \leq 1} \left| f^{(n+1)}(x) \right|.
\]"
Diﬀerentiation,"Show that the maximum of $\left| Q^{(n)}(x) \right|$ over $[-1, 1]$ is equal to $2^n n!$, where
\[
Q(x) = (1 - x^2)^n.
\]","By Cauchy's integral formula we get
\[
Q^{(n)}(x) = \frac{n!}{2\pi i} \int_C \frac{(1 - z^2)^n}{(z - x)^{n+1}} \, dz
\]
where \(C\) is an oriented circle centered at \(z = x\) with radius \(r > 0\). Hence putting
\[
z = x + re^{i\theta}
\]
for \(0 \leq \theta < 2\pi\) we obtain
\[
Q^{(n)}(x) = \frac{n!}{2\pi} \int_0^{2\pi} \frac{(1 - (x + re^{i\theta})^2)^n}{r^{n+1} e^{(n+1)i\theta}} re^{i\theta} \, d\theta
= \frac{n!}{2\pi} \int_0^{2\pi} \frac{(1 - (x + re^{i\theta})^2)^n}{re^{i\theta}} \, d\theta.
\]

The expression in the parentheses can be written as
\[
\left( \frac{1 - x^2}{r} - r \right) \cos\theta - 2x - i \left( \frac{1 - x^2}{r} + r \right) \sin\theta.
\]

We now take \(r = \sqrt{1 - x^2}\) for \(|x| < 1\) so that \(|P^{(n)}(x)| \leq 2^n n!\). This inequality clearly holds for \(x = 1\) and \(x = -1\)."
Diﬀerentiation,"Define the piecewise linear function
\[
g(x) =
\begin{cases}
x & \text{for } 0 \leq x < 1/2, \\
1 - x & \text{for } 1/2 \leq x < 1,
\end{cases}
\]
and extend it to $\mathbb{R}$ periodically. Show that
\[
T(x) = \sum_{n=0}^\infty \frac{1}{2^n} g(2^n x)
\]
is continuous but nowhere differentiable.","The continuity of $T(x)$ is obvious since it is defined as the series of continuous functions converging uniformly. To show the non-differentiability it suffices to consider any point $x$ in the interval $(0, 1]$ since $T(x)$ is periodic with period 1.

We first consider any point $x$ which can be expressed in the form $k/2^m$ with some odd integer $k$ and non-negative integer $m$. For any integer $n \geq m$ put $h_n = 1/2^n$ for brevity. Then for any integer $\ell$ in $[0, n]$ there are no integers nor half-integers in the interval $(2^\ell x, 2^\ell(x + h_n))$. For if $2^\ell x < p/2 < 2^\ell x + 2^\ell h_n$ for some integer $p$, then we would have $2^n x = k 2^{n-m} < 2^{n-\ell-1} p < k 2^{n-m} + 1$, a contradiction. This means that $g(x)$ is a linear function having the slope 1 or $-1$ on this subinterval. Hence
\[
\frac{T(x + h_n) - T(x)}{h_n} = \sum_{\ell=0}^\infty \frac{g(2^\ell (x + h_n)) - g(2^\ell x)}{2^\ell h_n} = \sum_{\ell=0}^{n-1} \frac{g(2^\ell x + 2^\ell h_n) - g(2^\ell x)}{2^{\ell-n}}
\]
is a finite sum of 1 or $-1$, which does not converge as $n \to \infty$.

Next consider any point $x$ for which $2^n x$ is not an integer for all positive integer $n$. Since $2^n x$ is not an integer, we can find two positive numbers $h_n$ and $h_n'$ satisfying $[2^n x] = 2^n (x - h_n')$ and $[2^n x] + 1 = 2^n (x + h_n)$. Note that $h_n + h_n' = 2^{-n}$. Then for any integer $\ell$ in $[0, n]$ there are no integers nor half-integers in the interval $(2^\ell (x - h_n'), 2^\ell (x + h_n))$. For if $p/2$ were contained in this interval for some integer $p$, then we have $[2^n x] < 2^{n-\ell-1} p < [2^n x] + 1$, a contradiction. Therefore
\[
\frac{T(x + h_n) - T(x - h_n')}{h_n + h_n'} = \sum_{\ell=0}^\infty \frac{g(2^\ell (x + h_n)) - g(2^\ell (x - h_n'))}{2^\ell (h_n + h_n')} = \sum_{\ell=0}^{n-1} \frac{g(2^\ell x + 2^\ell h_n) - g(2^\ell x - 2^\ell h_n')}{2^{\ell-n}}
\]
is a finite sum of 1 or $-1$, which does not converge as $n \to \infty$."
Diﬀerentiation,"Suppose that $f \in C^1(0, \infty)$ is positive. Then show that for an arbitrary constant $a > 1$,
\[
\liminf_{x \to \infty} \frac{f'(x)}{(f(x))^a} \leq 0.
\]","Suppose, contrary to the assertion, that there are positive numbers $\delta$ and $x_0$ satisfying
\[
\delta < \frac{f'(x)}{(f(x))^a}
\]
for any $x > x_0$. Then integrating from $x_0$ to $x$ we have
\[
\delta(x - x_0) < \int_{x_0}^x \frac{f'(t)}{(f(t))^a} dt = \frac{1}{a-1} \left( \frac{1}{(f(x_0))^{a-1}} - \frac{1}{(f(x))^{a-1}} \right).
\]
Thus
\[
\frac{1}{(f(x_0))^{a-1}} > \frac{1}{(f(x))^{a-1}} + (a-1)\delta(x - x_0) > (a-1)\delta(x - x_0),
\]
where the right-hand side diverges to $\infty$ together with $x$, giving a contradiction."
Diﬀerentiation,"Suppose that $f \in C^2(0, \infty)$ converges to $\alpha$ as $x \to \infty$ and that 
\[
f''(x) + \lambda f'(x)
\]
is bounded above for some constant $\lambda$. Then show that $f'(x)$ converges to $0$ as $x \to \infty$.","The proof is substantially due to Hardy and Littlewood (1914). We use Taylor’s formula with the integral remainder term
\[
f(x+y) = f(x) + yf'(x) + y^2 \int_0^1 (1-t)f''(x+yt) dt,
\]
valid for any \(x > 1\) and \(|y| < 1\). Now let us consider the integral on the right-hand side with \(f''\) replaced by \(f'\). By the mean value theorem there is a \(\xi_{x,y}\) between \(0\) and \(y\) satisfying
\[
y^2 \int_0^1 (1-t)f'(x+yt) dt = \int_x^{x+y} f(s) ds - yf(x) = y f(x+\xi_{x,y}) - y f(x).
\]
Since there exists a positive constant \(K\) satisfying \(f''(x) + \lambda f'(x) \leq K\), we have
\[
f(x+y) - f(x) - y f'(x) + \lambda y f(x+\xi_{x,y}) - \lambda y f(x) = y^2 \int_0^1 (1-t) (f''(x+yt) + \lambda f'(x+yt)) dt \leq Ky^2 \int_0^1 (1-t) dt = \frac{K}{2}y^2.
\]

For the case in which \(0 < y < 1\) we get
\[
f'(x) \geq \frac{f(x+y) - f(x)}{y} + \lambda f(x+\xi_{x,y}) - \lambda f(x) - \frac{K}{2}y.
\]
Making \(x \to \infty\) we thus have
\[
\liminf_{x \to \infty} f'(x) \geq -\frac{K}{2}y.
\]
Therefore \(\liminf_{x \to \infty} f'(x)\) must be \(\geq 0\) because \(y\) is arbitrary.

Similarly, for the case in which \(-1 < y < 0\),
\[
f'(x) \leq \frac{f(x) - f(x-|y|)}{|y|} + \lambda f(x+\xi_{x,y}) - \lambda f(x) + \frac{K}{2}|y|,
\]
which implies that
\[
\limsup_{x \to \infty} f'(x) \leq \frac{K}{2}|y|.
\]
So that \(\limsup_{x \to \infty} f'(x)\) is \(\leq 0\) because \(y\) is arbitrary. Therefore \(f'(x)\) converges to \(0\) as \(x \to \infty\)."
Integration,"Suppose that \(f \in C[0,1]\) and \(g \in C(\mathbb{R})\) is a periodic function with period 1. Show then that
\[
\lim_{n \to \infty} \int_0^1 f(x) g(nx) \, dx = \int_0^1 f(x) \, dx \int_0^1 g(x) \, dx.
\]","Without loss of generality we can replace \( g(x) \) by \( g(x) + c \) for any constant \( c \); so we can assume that \( g(x) \) is positive. By the periodicity of \( g \)
\[
\int_0^1 f(x) g(nx) \, dx = \frac{1}{n} \int_0^n f\left(\frac{y}{n}\right) g(y) \, dy
= \frac{1}{n} \sum_{k=0}^{n-1} \int_k^{k+1} f\left(\frac{y}{n}\right) g(y) \, dy
= \frac{1}{n} \sum_{k=0}^{n-1} \int_0^1 f\left(\frac{k+s}{n}\right) g(s) \, ds.
\]

Applying the first mean value theorem to each integral on the right-hand side, the above expression can be written as the product of \( \int_0^1 g(s) \, ds \) times
\[
\frac{1}{n} \sum_{k=0}^{n-1} f\left(\frac{k+s_k}{n}\right)
\]
for some \( s_k \) in the interval \( (0, 1) \), which is the Riemann sum converging to \( \int_0^1 f(x) \, dx \) as \( n \to \infty \)."
Integration,"Find an example of a sequence of continuous functions \(\{f_n\}\) defined on the interval \([0, 1]\) such that \(0 \leq f_n(x) \leq 1\),
\[
\int_0^1 f_n(x) \, dx \to 0 \quad \text{as } n \to \infty,
\]
and that \(\{f_n(x)\}\) does not converge at any point \(x\) in \([0, 1]\).","Divide the unit interval \([0, 1]\) into \(m \geq 3\) equal subintervals. For each subinterval let \(I'\) and \(I''\) be the left and right neighboring subinterval respectively with \(I'\) or \(I''\) empty at endpoints. We associate with \(I\) the trapezoidal function \(g_I(x)\) such that \(g_I(x) = 1\) on \(I\), \(g_I(x) = 0\) on \([0, 1] \setminus (I \cup I' \cup I'')\) and that \(g_I(x)\) is linear on \(I'\) and on \(I''\). We thus have \(m\) continuous functions \(g_I\) for each \(m\). We call \(I\) the support of \(g_I\). Arranging the \(g_I\)'s in a line in any manner for \(m = 3, 4, \dots\) we define a sequence of continuous functions \(\{f_n(x)\}\). It is clear that
\[
a_n = \int_0^1 f_n(x) \, dx \leq \frac{2}{m}
\]
if \(f_n = g_I\) and the length of \(I\) is equal to \(1/m\). Since \(m \to \infty\) together with \(n\), it follows that \(a_n\) converges to \(0\) as \(n \to \infty\).

For any point \(x\) in \([0, 1]\) there are infinitely many cases in which \(x\) is contained in some support; in other words, \(f_n(x) = 1\) for infinitely many \(n\)'s. On the other hand, there are also infinitely many cases in which \(x\) is contained in neither the support nor its neighbors; in other words, \(f_n(x) = 0\) for infinitely many \(n\)'s. Hence \(\{f_n(x)\}\) does not converge at any point \(x\)."
Integration,"Show that
\[
\max_{0 \leq x \leq 1} |f'(x)| \geq 4 \int_0^1 |f(x)| \, dx
\]
for any \(f \in C^1[0, 1]\) satisfying \(f(0) = f(1) = 0\). Prove moreover that 4 cannot be replaced by any larger constant.","\[
\text{Let } g(x) \text{ be any one of the four functions } f(x), -f(x), f(1-x) \text{ and } -f(1-x).
\]
\[
\text{Let } \alpha \text{ be the maximum of } |g'(x)| \text{ on the interval } [0,1], \text{ which also equals to the maximum of } |f'(x)| \text{ on } [0,1].
\]
\[
\text{We can assume } \alpha > 0; \text{ otherwise, } f(x) \text{ would identically vanish.}
\]
\[
\text{Suppose now that there is a point } x_0 \in (0,1) \text{ satisfying } g(x_0) > \alpha x_0.
\]
\[
\text{By the mean value theorem, there exists } \xi \in (0,x_0) \text{ satisfying } g(\xi) = g'(\xi)x_0 > \alpha x_0.
\]
\[
\text{However, this implies } g'(\xi) > \alpha, \text{ contrary to the definition of } \alpha.
\]
\[
\text{We thus have } g(x) \leq \alpha x \text{ for any } 0 < x < 1 \text{ so that } |f(x)| \leq \alpha \max\{x, 1-x\}.
\]
\[
\text{Hence,}
\]
\[
\int_0^1 |f(x)|dx \leq \alpha \int_0^1 \max\{x, 1-x\}dx = \frac{\alpha}{4}.
\]
\[
\text{The equality does not occur since the function } \max\{x, 1-x\} \text{ is not in } C^1\text{-class.}
\]
\[
\text{However, we can modify it slightly to become a continuously differentiable one in the neighborhood of } x = 1/2
\]
\[
\text{so that the difference between } \int_0^1 |f(x)|dx \text{ and } \alpha/4 \text{ becomes sufficiently small.}
\]"
